case,label,N,a,z,H,Omega_m,mu_eff,D_raw,D_norm,f,gamma,sigma8_z,fsigma8
C,C: Full Flux ledger,-0.6629965048203328,0.5153049050752208,0.9405986439310658,1.692538695320309,0.7653359514298422,1.0122363983548268,0.4860410012550606,0.6251174127674439,0.8682567829424883,0.5282215432281308,0.5119561893119099,0.4445094339394544
C,C: Full Flux ledger,-0.6611497178988279,0.5162574427308144,0.9370180790234484,1.6889858143566796,0.7643121818646189,1.012229637867153,0.48682070350864687,0.6261202200496119,0.8676279170507268,0.528286604472168,0.5127774644584782,0.4449000433986625
C,C: Full Flux ledger,-0.6593029309773226,0.5172117411458663,0.9334441205540529,1.6854465246361492,0.7632857063672098,1.0122226881608436,0.4876010892021724,0.6271239063321223,0.8669967028999227,0.5283525492158656,0.5135994594852746,0.44528903798491554
C,C: Full Flux ledger,-0.6574561440558178,0.5181678035751279,0.9298767563334573,1.6819180181201239,0.7622557404125835,1.0122155538137483,0.48838215547852387,0.6281284679403241,0.8663630869306271,0.5284175721811161,0.5144221713828478,0.4456763803848002
C,C: Full Flux ledger,-0.6556093571343125,0.5191256332793681,0.9263159741947258,1.6784035745494503,0.7612232333527749,1.012208231192581,0.4891638994266866,0.6291339011302406,0.8657270716104742,0.5284840675068897,0.515245597084971,0.4460620619245622
C,C: Full Flux ledger,-0.6537625702128076,0.5200852335253824,0.9227617619933748,1.674899317509357,0.7601870836432583,1.0122007263924684,0.48994631813838674,0.6301402021614209,0.8650886815242406,0.5285491020625054,0.516069733528304,0.44644608535256664
C,C: Full Flux ledger,-0.6519157832913023,0.5210466075860057,0.9192141076073248,1.6714095876696675,0.7591485599352186,1.0121930342321648,0.4907294086920236,0.6311473672762733,0.8644479091702741,0.5286159078577366,0.5168945776354694,0.4468284368984335
C,C: Full Flux ledger,-0.6500689963697974,0.5220097587401221,0.9156729989368666,1.6679294556568047,0.7581062400375601,1.012185162352327,0.4915131681484663,0.6321553926946606,0.8638047345015083,0.5286809482977578,0.5177201263106254,0.4472090962538371
C,C: Full Flux ledger,-0.6482222094482921,0.5229746902726774,0.912138423904612,1.6644643077137367,0.7570617155232774,1.012177103994625,0.49229759350932206,0.6331642745602256,0.8631591226741664,0.5287483600116463,0.5185463763955078,0.4475880353154146
C,C: Full Flux ledger,-0.6463754225267868,0.5239414054746888,0.9086103704554596,1.6610085957757597,0.7560133646572679,1.012168867774246,0.4930826817648112,0.6341740090019665,0.8625111126404397,0.5288138802124367,0.5193733247198588,0.44796526417988974
C,C: Full Flux ledger,-0.644528635605282,0.5249099076432573,0.9050888265565498,1.6575674794965078,0.7549627314004483,1.012160447124086,0.49386842989319146,0.6351845921334958,0.8618606685445717,0.5288815036469929,0.5202009681008201,0.44834075414490615
C,C: Full Flux ledger,-0.6426818486837766,0.525880200081579,0.9015737801972228,1.6541361725139103,0.7539084009016641,1.0121518496872022,0.49465483485903017,0.6361960200508179,0.8612078362242723,0.5289474851785365,0.5210293033411129,0.4487145189398398
C,C: Full Flux ledger,-0.6408350617622718,0.526852286098955,0.8980652193889826,1.650718848921235,0.7528516407392666,1.0121430701901732,0.4954418936220002,0.6372082888436426,0.8605525981190362,0.5290150304826337,0.5218583272383029,0.4490865393549758
C,C: Full Flux ledger,-0.6389882748407665,0.5278261690108045,0.8945631321654501,1.6473118163904785,0.7517913488155401,1.012134114785397,0.4962296031259393,0.6382213945813133,0.8598949886047155,0.5290812441074887,0.522688036573277,0.4494568232529991
C,C: Full Flux ledger,-0.6371414879192616,0.5288018521386745,0.8910675065823279,1.6439181629701374,0.7507284786151462,1.0121249796846061,0.49701796030148787,0.6392353333162,0.8592349617101787,0.5291486499042884,0.5235184281130203,0.44982533653426393
C,C: Full Flux ledger,-0.6352947009977563,0.5297793388102527,0.8875783307173533,1.6405352749554412,0.7496622444263562,1.0121156695204487,0.4978069620278554,0.6402501010345248,0.8585725116360559,0.5292153133811089,0.5243494985703451,0.45019206596264766
