z,elapsed_years_since_zmax,sfrd_msun_yr_mpc3,rho_star_msun_mpc3,lum_density_lsun_mpc3,lum_density_w_mpc3,fusion_chain_rate_mpc3_s,proton_processing_rate_mpc3_s,T_sink_K,entropy_rate_J_K_mpc3_s,entropy_rate_kB_mpc3_s
16.29271545257543,60557309.80565209,0.0014986390642040119,51342.59795364768,17114.19931788256,6.551315498885445e+30,1.5314642373014587e+42,6.125856949205835e+42,47.131295965994326,1.3786637021090265e+29,9.985620545910122e+51
16.28938156359393,60626610.55177128,0.0014994771879416398,51418.4346267833,17139.47820892777,6.56099225837755e+30,1.533726319031097e+42,6.134905276124388e+42,47.12220945157526,1.3809685170417745e+29,1.0002314252512944e+52
16.286047674612437,60695944.70544277,0.0015003159420914065,51494.35029491785,17164.783431639284,6.570679097631517e+30,1.5359907570500663e+42,6.143963028200265e+42,47.11312293715619,1.3832763494992114e+29,1.0019029814958119e+52
16.28271378563094,60765312.28921431,0.0015011553272490845,51570.345055586215,17190.115018528737,6.580376029092801e+30,1.5382575542676703e+42,6.153030217070681e+42,47.104036422737124,1.385587203858271e+29,1.003576726494765e+52
16.27937989664944,60834713.32565301,0.0015019953440111192,51646.4190064623,17215.4730021541,6.590083065224589e+30,1.5405267135973587e+42,6.162106854389435e+42,47.09494990831805,1.3879010845030178e+29,1.0052526634235188e+52
16.276046007667944,60904147.83734562,0.0015028359929746364,51722.57224535958,17240.85741511986,6.599800218507882e+30,1.5427982379567442e+42,6.171192951826977e+42,47.085863393898975,1.3902179958246682e+29,1.006930795462618e+52
16.27271211868645,60973615.846898444,0.0015036772747374415,51798.80487023115,17266.26829007705,6.609527501441495e+30,1.5450721302676053e+42,6.180288521070421e+42,47.076776879479915,1.3925379422215986e+29,1.008611125797794e+52
16.26937822970495,61043117.37693763,0.001504519189898021,51875.11697917028,17291.705659723426,6.619264926542127e+30,1.5473483934559004e+42,6.189393573823601e+42,47.06769036506084,1.3948609280993691e+29,1.010293657619981e+52
16.266044340723454,61112652.45010875,0.0015053617390555433,51951.508670410156,17317.169556803387,6.629012506344336e+30,1.5496270304517624e+42,6.19850812180705e+42,47.058603850641774,1.3971869578707213e+29,1.0119783941253144e+52
16.262710451741956,61182221.08907713,0.0015062049228098562,52027.980042324445,17342.660014108147,6.638770253400599e+30,1.5519080441895138e+42,6.207632176758055e+42,47.0495173362227,1.3995160359556007e+29,1.013665338515148e+52
16.25937656276046,61251823.31652777,0.0015070487417614949,52104.53119342742,17368.177064475807,6.648538180281339e+30,1.5541914376076714e+42,6.216765750430686e+42,47.040430821803625,1.4018481667811684e+29,1.0153544939960615e+52
16.256042673778964,61321459.15516532,0.0015078931965116736,52181.16222237413,17393.720740791377,6.658316299574939e+30,1.5564772136489508e+42,6.225908854595803e+42,47.031344307384565,1.4041833547818117e+29,1.0170458637798685e+52
16.252708784797466,61391128.62771439,0.0015087382876622986,52257.87322796093,17419.291075986977,6.668104623887816e+30,1.5587653752602837e+42,6.235061501041135e+42,47.02225779296549,1.4065216043991668e+29,1.0187394510836329e+52
16.24937489581597,61460831.75691911,0.0015095840158159577,52334.66430912524,17444.888103041747,6.677903165844381e+30,1.5610559253928075e+42,6.24422370157123e+42,47.013171278546416,1.4088629200821153e+29,1.0204352591296667e+52
16.246041006834474,61530568.56554338,0.0015104303815759257,52411.535564946,17470.511854982,6.68771193808711e+30,1.5633488670018827e+42,6.253395468007531e+42,47.004084764127356,1.4112073062868086e+29,1.0221332911455471e+52
16.242707117852976,61600339.07637115,0.001511277385546166,52488.48709464417,17496.16236488139,6.697530953276597e+30,1.5656442030471055e+42,6.262576812188422e+42,46.99499824970828,1.4135547674766863e+29,1.0238335503641304e+52
